id,gw,xPts,xMins,Pts,f_error
2,10,3.18,86.76,2.0,1.1800000000000002
2,1,2.17,56.72,0.0,2.17
2,2,3.48,56.72,0.0,3.48
2,3,3.6,24.32,2.0,1.6
2,4,2.71,79.19,3.0,-0.29000000000000004
2,5,3.63,79.19,2.0,1.63
2,6,2.42,79.19,3.0,-0.5800000000000001
2,8,4.1,86.76,1.0,3.0999999999999996
2,9,3.65,86.8,2.0,1.65
3,10,2.54,84.55,2.0,0.54
3,1,2.64,80.4,2.0,0.6400000000000001
3,2,2.88,79.52,12.0,-9.120000000000001
3,3,2.88,78.24,6.0,-3.12
3,4,3.13,80.4,2.0,1.13
3,5,2.94,80.4,2.0,0.94
3,6,2.59,84.55,2.0,0.5899999999999999
3,8,2.85,83.72,5.0,-2.15
3,9,2.72,82.01,9.0,-6.279999999999999
4,1,1.76,2.37,0.0,1.76
4,2,1.86,2.37,0.0,1.86
4,3,1.85,2.37,0.0,1.85
4,4,1.72,1.84,2.0,-0.28
4,5,2.14,42.07,0.0,2.14
6,10,2.59,67.5,2.0,0.5899999999999999
6,1,2.82,73.5,3.0,-0.18000000000000016
6,2,3.16,75.5,2.0,1.1600000000000001
6,3,3.03,67.14,3.0,0.029999999999999805
6,4,3.38,77.21,0.0,3.38
6,5,2.87,41.0,0.0,2.87
6,9,2.77,65.47,10.0,-7.23
7,10,3.28,78.65,4.0,-0.7200000000000002
7,1,3.57,78.65,3.0,0.5699999999999998
7,2,4.14,76.9,2.0,2.1399999999999997
7,3,3.78,71.66,16.0,-12.22
7,4,4.38,74.28,10.0,-5.62
7,5,4.05,74.28,1.0,3.05
7,6,3.24,63.21,2.0,1.2400000000000002
7,8,3.91,75.36,0.0,3.91
7,9,3.7,76.29,2.0,1.7000000000000002
8,10,1.5,19.74,1.0,0.5
8,1,3.03,26.05,1.0,2.03
8,2,3.23,29.47,1.0,2.23
8,3,3.39,48.5,1.0,2.39
8,4,2.46,34.74,2.0,0.45999999999999996
8,5,3.89,75.5,2.0,1.8900000000000001
8,6,2.71,73.02,0.0,2.71
8,8,1.67,19.34,6.0,-4.33
8,9,1.74,24.51,1.0,0.74
10,10,2.43,73.02,1.0,1.4300000000000002
10,1,3.56,83.02,5.0,-1.44
10,2,3.55,82.58,1.0,2.55
10,3,3.74,69.93,7.0,-3.26
10,4,3.94,74.74,1.0,2.94
10,5,3.68,74.74,8.0,-4.32
10,6,2.62,70.55,1.0,1.62
10,8,2.96,71.56,6.0,-3.04
