id,gw,xPts,xMins,Pts,f_error
1,10,1.44,1.32,0.0,1.44
1,1,2.69,18.95,0.0,2.69
1,2,2.28,4.74,0.0,2.28
1,3,2.38,4.74,0.0,2.38
1,4,2.52,2.37,0.0,2.52
1,5,2.39,2.37,0.0,2.39
1,6,1.83,2.37,0.0,1.83
1,8,1.62,1.29,0.0,1.62
1,9,1.67,4.59,0.0,1.67
2,10,3.18,86.76,2.0,1.1800000000000002
2,1,2.17,56.72,0.0,2.17
2,2,3.48,56.72,0.0,3.48
2,3,3.6,24.32,2.0,1.6
2,4,2.71,79.19,3.0,-0.29000000000000004
2,5,3.63,79.19,2.0,1.63
2,6,2.42,79.19,3.0,-0.5800000000000001
2,8,4.1,86.76,1.0,3.0999999999999996
2,9,3.65,86.8,2.0,1.65
3,10,2.54,84.55,2.0,0.54
3,1,2.64,80.4,2.0,0.6400000000000001
3,2,2.88,79.52,12.0,-9.120000000000001
3,3,2.88,78.24,6.0,-3.12
3,4,3.13,80.4,2.0,1.13
3,5,2.94,80.4,2.0,0.94
3,6,2.59,84.55,2.0,0.5899999999999999
3,8,2.85,83.72,5.0,-2.15
3,9,2.72,82.01,9.0,-6.279999999999999
4,10,0.0,0.0,0.0,0.0
4,1,1.76,2.37,0.0,1.76
4,2,1.86,2.37,0.0,1.86
4,3,1.85,2.37,0.0,1.85
4,4,1.72,1.84,2.0,-0.28
4,5,2.14,42.07,0.0,2.14
4,6,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,0.0,0.0,0.0,0.0
5,10,1.26,3.16,0.0,1.26
5,1,2.2,9.47,0.0,2.2
5,2,2.06,6.32,0.0,2.06
5,3,2.17,6.32,0.0,2.17
5,4,2.27,4.21,1.0,1.27
5,5,2.17,4.21,1.0,1.17
5,6,1.69,4.21,0.0,1.69
5,8,1.35,3.09,0.0,1.35
5,9,1.32,3.06,0.0,1.32
6,10,2.59,67.5,2.0,0.5899999999999999
6,1,2.82,73.5,3.0,-0.18000000000000016
6,2,3.16,75.5,2.0,1.1600000000000001
6,3,3.03,67.14,3.0,0.029999999999999805
6,4,3.38,77.21,0.0,3.38
6,5,2.87,41.0,0.0,2.87
6,6,0.0,0.0,0.0,0.0
6,8,0.0,0.0,3.0,-3.0
6,9,2.77,65.47,10.0,-7.23
7,10,3.28,78.65,4.0,-0.7200000000000002
7,1,3.57,78.65,3.0,0.5699999999999998
7,2,4.14,76.9,2.0,2.1399999999999997
7,3,3.78,71.66,16.0,-12.22
7,4,4.38,74.28,10.0,-5.62
7,5,4.05,74.28,1.0,3.05
7,6,3.24,63.21,2.0,1.2400000000000002
7,8,3.91,75.36,0.0,3.91
7,9,3.7,76.29,2.0,1.7000000000000002
8,10,1.5,19.74,1.0,0.5
8,1,3.03,26.05,1.0,2.03
8,2,3.23,29.47,1.0,2.23
8,3,3.39,48.5,1.0,2.39
8,4,2.46,34.74,2.0,0.45999999999999996
8,5,3.89,75.5,2.0,1.8900000000000001
8,6,2.71,73.02,0.0,2.71
8,8,1.67,19.34,6.0,-4.33
8,9,1.74,24.51,1.0,0.74
9,10,0.0,0.0,0.0,0.0
9,1,1.79,13.26,0.0,1.79
9,2,1.99,12.63,0.0,1.99
9,3,1.94,10.53,0.0,1.94
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
10,10,2.43,73.02,1.0,1.4300000000000002
10,1,3.56,83.02,5.0,-1.44
10,2,3.55,82.58,1.0,2.55
10,3,3.74,69.93,7.0,-3.26
10,4,3.94,74.74,1.0,2.94
10,5,3.68,74.74,8.0,-4.32
10,6,2.62,70.55,1.0,1.62
10,8,2.96,71.56,6.0,-3.04
10,9,2.79,70.83,5.0,-2.21
11,10,1.57,18.42,1.0,0.5700000000000001
11,1,2.06,30.32,1.0,1.06
11,2,2.35,27.63,1.0,1.35
11,3,2.26,25.26,1.0,1.2599999999999998
11,4,1.97,18.42,1.0,0.97
11,5,1.83,18.42,1.0,0.8300000000000001
11,6,1.66,18.42,1.0,0.6599999999999999
11,8,1.76,18.05,1.0,0.76
11,9,1.92,24.81,1.0,0.9199999999999999
12,10,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0
12,2,1.83,8.42,1.0,0.8300000000000001
12,3,2.19,22.11,1.0,1.19
12,4,2.56,32.24,0.0,2.56
12,5,2.37,32.24,1.0,1.37
12,6,2.29,39.5,1.0,1.29
12,8,1.9,21.92,0.0,1.9
12,9,0.0,0.0,0.0,0.0
13,10,3.77,80.4,15.0,-11.23
13,1,4.11,79.26,6.0,-1.8899999999999997
13,2,4.98,77.5,2.0,2.9800000000000004
13,3,4.67,75.74,3.0,1.67
13,4,5.21,76.62,5.0,0.20999999999999996
13,5,4.69,76.62,5.0,-0.3099999999999996
13,6,3.89,76.62,7.0,-3.11
13,8,4.47,77.07,9.0,-4.53
13,9,4.26,77.98,2.0,2.26
14,10,1.51,26.84,1.0,0.51
14,1,2.8,35.37,0.0,2.8
14,2,2.84,23.58,0.0,2.84
14,3,3.34,60.64,1.0,2.34
14,4,2.72,43.12,1.0,1.7200000000000002
14,5,2.57,43.12,1.0,1.5699999999999998
14,6,2.09,53.5,1.0,1.0899999999999999
14,8,1.72,26.31,1.0,0.72
14,9,1.65,26.04,1.0,0.6499999999999999
15,10,2.93,87.43,1.0,1.9300000000000002
15,1,4.19,86.76,6.0,-1.8099999999999996
15,2,4.06,87.43,1.0,3.0599999999999996
15,3,4.53,87.43,6.0,-1.4699999999999998
15,4,4.5,87.43,2.0,2.5
15,5,4.22,87.43,2.0,2.2199999999999998
15,6,3.31,79.35,2.0,1.31
15,8,3.93,85.68,6.0,-2.07
15,9,3.37,84.8,2.0,1.37
16,10,3.01,83.89,1.0,2.01
16,1,3.83,79.33,7.0,-3.17
