,ID,Name,BV,SV,Team,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins
0,1,Cédric,4.2,4.2,Arsenal,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
1,2,Leno,4.5,4.5,Fulham,1.83,90.0,0.86,90.0,0.52,90.0,2.09,90.0,3.42,90.0,3.05,90.0,3.19,90.0,3.54,90.0,3.43,90.0
2,3,Xhaka,5.1,5.1,Arsenal,2.41,84.28,2.79,84.8,3.06,86.0,3.49,86.5,3.27,87.0,2.71,87.5,3.39,88.1,2.9,88.1,3.09,88.6
3,4,Elneny,4.3,4.3,Arsenal,0.44,14.7,0.42,12.0,0.34,10.0,0.3,8.0,1.01,22.29,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
4,5,Holding,4.2,4.2,Arsenal,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
5,6,Partey,4.8,4.8,Arsenal,2.6,79.38,3.04,80.3,2.98,81.1,3.26,82.0,0.37,53.27,0.0,8.63,0.0,16.33,0.0,32.82,2.29,76.06
6,7,Ødegaard,6.5,6.5,Arsenal,3.42,76.64,3.96,77.6,3.83,78.4,4.55,78.0,4.41,79.5,2.82,75.08,4.24,77.0,3.64,77.0,3.29,74.02
7,8,Tierney,4.8,4.8,Arsenal,0.39,90.0,1.21,90.0,1.73,90.0,1.45,90.0,3.09,90.0,2.4,90.0,3.69,90.0,,90.0,1.66,90.0
8,9,Pépé,5.3,5.3,Arsenal,0.74,12.74,0.74,11.0,0.59,9.0,0.51,7.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
9,10,White,4.5,4.5,Arsenal,3.47,90.0,3.59,90.0,3.48,90.0,3.55,90.0,3.05,90.0,2.34,90.0,3.0,90.0,2.9,90.0,2.72,90.0
10,11,Nketiah,6.6,6.6,Arsenal,1.73,30.38,1.71,26.0,1.34,21.0,1.61,21.0,1.78,24.0,1.25,20.0,1.52,20.0,1.3,20.0,1.22,18.0
11,12,Smith Rowe,5.6,5.6,Arsenal,0.0,18.59,0.71,25.25,1.26,27.39,1.7,27.0,2.34,27.28,1.74,23.68,,0.0,,0.0,0.0,0.0
12,13,Saka,7.8,7.8,Arsenal,4.22,77.9,4.93,78.7,4.8,79.5,5.23,80.2,4.89,81.0,4.11,81.5,5.18,82.1,4.44,82.1,4.71,82.0
13,14,Tomiyasu,4.2,4.2,Arsenal,0.82,90.0,0.6,90.0,1.82,90.0,1.33,90.0,2.35,90.0,1.4,90.0,2.58,90.0,,90.0,,90.0
14,15,Ramsdale,4.9,4.9,Arsenal,4.03,90.0,4.01,90.0,4.23,90.0,4.16,90.0,4.09,90.0,3.42,90.0,4.1,90.0,3.75,90.0,3.57,90.0
15,16,Gabriel,5.1,5.1,Arsenal,3.89,90.0,4.04,90.0,4.25,90.0,4.5,90.0,4.07,90.0,2.76,90.0,4.34,90.0,3.48,90.0,3.33,90.0
16,17,Tavares,4.5,4.5,Arsenal,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
17,18,Sambi,4.4,4.4,Arsenal,0.24,7.84,0.25,7.0,0.21,6.0,0.26,7.0,1.75,16.86,1.88,52.48,2.33,52.13,1.85,41.45,0.66,21.0
18,19,Martinelli,6.6,6.3,Arsenal,4.08,64.38,4.7,63.78,4.79,66.58,5.18,65.3,5.01,69.69,4.4,72.48,5.23,73.5,4.46,73.0,4.58,73.5
19,20,Pablo Marí,4.5,4.5,Arsenal,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
20,21,Maitland-Niles,4.8,4.8,Southampton,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
21,22,Torreira,4.5,4.5,Arsenal,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
22,23,Nelson,4.8,4.8,Arsenal,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
23,24,Turner,3.9,3.9,Arsenal,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
24,25,Fábio Vieira,5.7,5.7,Arsenal,0.47,22.06,1.01,23.48,1.05,21.39,1.37,19.0,1.07,16.0,0.71,13.0,1.08,16.0,,0.0,2.37,29.59
25,26,Saliba,5.0,5.0,Arsenal,3.08,90.0,3.63,90.0,3.66,90.0,4.24,90.0,4.04,90.0,2.6,90.0,4.04,90.0,3.25,90.0,3.17,90.0
26,27,Marquinhos,4.7,4.7,Arsenal,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
27,28,Jesus,8.0,8.0,Arsenal,4.5,77.42,5.2,78.2,5.67,80.2,6.29,82.34,5.56,82.0,4.75,83.0,5.65,83.0,4.79,82.0,5.07,82.1
28,29,Coutinho,6.7,6.7,Aston Villa,3.68,62.72,3.73,64.0,2.01,52.02,2.71,49.0,2.28,54.0,1.88,49.0,2.27,47.0,2.7,47.0,2.87,57.0
