team_abr,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
CHE,0.58,0.72,0.81,0.88,0.73,0.64,0.53,0.55
ARS,1.26,1.56,1.5,1.41,1.15,0.92,0.7,0.68
MCI,0.68,0.68,0.6,0.56,0.59,0.68,0.85,0.85
LIV,1.45,1.29,1.09,0.96,0.87,0.92,0.99,0.96
NEW,1.26,1.5,1.56,1.46,1.33,1.4,1.22,0.99
AVL,1.19,1.23,1.35,1.32,1.13,0.9,1.05,1.02
CRY,1.19,0.99,0.91,0.9,1.0,1.19,1.17,1.03
BUR,1.53,1.44,1.4,1.43,1.41,1.45,1.26,1.11
TOT,1.42,1.31,1.16,1.12,0.96,0.8,1.0,1.14
WHU,1.61,1.32,1.13,0.93,0.97,1.23,1.17,1.2
BHA,0.94,0.96,1.04,1.05,1.15,1.04,1.16,1.21
MUN,0.84,0.99,1.32,1.44,1.44,1.37,1.29,1.22
SOU,1.39,1.25,1.43,1.17,1.26,1.24,1.18,1.3
LEI,1.32,1.51,1.37,1.32,1.45,1.51,1.42,1.31
WAT,,,1.87,1.89,1.73,1.58,1.49,1.32
WOL,1.22,1.04,0.91,1.1,1.28,1.21,1.24,1.41
BRE,,,0.97,1.05,1.26,1.2,1.12,1.43
EVE,1.25,1.27,1.28,1.43,1.3,1.24,1.35,1.45
NOR,,,1.48,1.6,1.35,1.24,1.38,1.53
LEE,1.36,1.63,1.65,1.58,1.49,1.65,1.88,1.65
