team_abr,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
LIV,0.47,0.98,1.33,1.63,1.46,1.21,0.95,1.04
ARS,0.03,-0.36,-0.31,-0.32,0.03,0.6,0.95,1.0
CHE,1.29,1.07,0.95,0.79,0.77,0.68,0.7,0.77
MCI,1.09,1.28,1.5,1.59,1.53,1.27,0.9,0.7
TOT,0.01,-0.01,-0.03,-0.22,0.43,0.97,0.94,0.55
MUN,0.45,0.16,-0.08,-0.15,-0.21,-0.07,0.28,0.51
AVL,-0.28,-0.33,-0.4,-0.3,-0.15,0.15,0.07,0.16
NEW,-0.02,-0.41,-0.61,-0.62,-0.68,-0.63,-0.32,0.11
CRY,-0.25,0.01,0.03,0.35,0.2,-0.1,-0.19,0.08
SOU,-0.3,-0.04,-0.19,0.07,-0.15,-0.27,-0.0,0.06
LEI,-0.22,-0.34,0.09,0.29,0.05,0.04,0.17,0.04
WHU,-0.35,-0.01,0.17,0.29,0.31,-0.01,-0.1,-0.05
BHA,0.22,-0.05,-0.2,-0.3,-0.18,0.03,-0.18,-0.31
BUR,-0.37,-0.34,-0.41,-0.31,-0.41,-0.54,-0.51,-0.35
LEE,-0.03,-0.3,-0.52,-0.52,-0.58,-0.58,-0.71,-0.4
BRE,,,0.37,0.26,-0.29,-0.39,-0.06,-0.42
WAT,,,-0.85,-0.84,-0.51,-0.46,-0.65,-0.47
WOL,-0.31,0.0,0.12,-0.05,-0.51,-0.51,-0.4,-0.57
EVE,0.0,-0.11,-0.16,-0.32,-0.26,-0.28,-0.41,-0.68
NOR,,,-0.71,-0.93,-0.49,-0.38,-0.7,-0.86
