team_abr,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03
LIV,1.93,2.26,2.42,2.59,2.33,2.13,1.94,2.0
MUN,1.28,1.16,1.24,1.28,1.22,1.3,1.57,1.73
TOT,1.44,1.31,1.13,0.9,1.39,1.77,1.94,1.69
ARS,1.29,1.2,1.18,1.09,1.18,1.53,1.65,1.68
MCI,1.77,1.96,2.1,2.15,2.12,1.95,1.74,1.56
SOU,1.09,1.22,1.24,1.23,1.11,0.97,1.18,1.36
LEI,1.1,1.17,1.47,1.61,1.5,1.54,1.59,1.35
CHE,1.87,1.79,1.75,1.67,1.5,1.32,1.23,1.32
LEE,1.32,1.33,1.13,1.06,0.91,1.07,1.17,1.25
AVL,0.91,0.9,0.95,1.02,0.98,1.05,1.12,1.17
WHU,1.26,1.31,1.3,1.22,1.28,1.21,1.08,1.15
CRY,0.95,1.0,0.95,1.25,1.2,1.08,0.97,1.11
NEW,1.24,1.09,0.95,0.84,0.65,0.76,0.9,1.09
BRE,,,1.35,1.31,0.98,0.81,1.05,1.01
BHA,1.16,0.91,0.84,0.74,0.97,1.07,0.99,0.9
WAT,,,1.03,1.05,1.22,1.12,0.84,0.86
WOL,0.91,1.05,1.03,1.05,0.77,0.69,0.84,0.84
EVE,1.25,1.16,1.13,1.11,1.04,0.96,0.95,0.78
BUR,1.16,1.11,0.99,1.12,1.0,0.9,0.74,0.76
NOR,,,0.78,0.67,0.87,0.86,0.68,0.67
